,Hostname,Letter,Earth Radii,Earth Masses,Density (g/m^3),Semi-Major Axis,Orbital Period,Eccentricity,Spectral Type,Star Radius,Star Temperature,Star Mass,Planet Type
21583,Kepler-263,c,2.217,,,,,,,0.73,5113.0,,icy
21584,Kepler-263,c,2.4,,,0.2407,47.3330262,0.0,,0.78,5265.0,0.83,icy
21585,Kepler-763,b,,,,,1.19654846,,,0.88,5080.0,0.85,?
21586,Kepler-24,e,3.0,,,0.14,18.99835,0.0,,1.12,6043.0,1.02,icy
21587,Kepler-769,c,2.2,,,0.128,15.98467,0.0,,1.02,6215.0,1.1,icy
21588,Kepler-102,f,,,,,27.45392409,,,0.73,4816.0,0.78,?
21589,Kepler-1291,b,,,,,8.63043891,,,0.75,5083.0,0.85,?
21590,Kepler-1292,b,1.9,,,0.0444,3.27646405,0.0,,0.96,5825.0,1.08,rocky
21591,Kepler-190,c,1.46,,,0.045,3.763024,,,0.8,5106.0,,rocky
21592,Kepler-1296,b,0.91,,,,8.3839865,,,0.83,5359.0,0.87,rocky
21593,Kepler-1296,b,1.04,,,0.0758,8.3839865,0.0,,0.98,5494.0,0.82,rocky
21594,Kepler-1296,b,1.04,,,0.0758,8.3839865,0.0,,0.98,5494.0,0.82,rocky
21595,Kepler-1298,b,1.31,,,,7.12811928,,,2.0,6339.0,1.45,rocky
21596,Kepler-267,c,2.1,,,,6.87749137,,,0.55,3886.0,0.54,rocky
21597,Kepler-267,c,2.652,,,,,,,0.55,3868.0,0.59,icy
21598,Kepler-135,c,,,,,11.4485422,,,1.56,5990.67,1.1,?
21599,Kepler-406,c,0.76,,,0.0554,4.62333557,0.0,,0.97,5697.0,1.06,rocky
21600,Kepler-524,c,,,,,1.88899036,,,1.62,5842.52,1.05,?
21601,Kepler-149,c,,,,,55.3290939,,,1.0,5380.49,0.93,?
21602,Kepler-149,c,,,,,55.3291399,,,1.0,5380.49,0.93,?
21603,Kepler-150,b,1.25,,,0.044,3.428054,,,0.94,5560.0,,rocky
21604,Kepler-150,b,1.34,,,0.044,3.42804168,0.0,,0.93,5862.0,0.96,rocky
21605,Kepler-1461,b,,,,,29.34926797,,,0.68,4821.0,0.78,?
21606,Kepler-1461,b,1.917,,,,,,,0.69,4988.0,,rocky
21607,Kepler-1463,b,1.86,,,,25.15864,,,0.95,5679.0,0.96,rocky
