,Hostname,Letter,Earth Radii,Earth Masses,Density (g/m^3),Semi-Major Axis,Orbital Period,Eccentricity,Spectral Type,Star Radius,Star Temperature,Star Mass,Planet Type
24882,Kepler-674,b,,,,,2.24338122,,,0.69,4135.0,0.65,?
24883,Kepler-715,b,,,,,10.00653012,,,1.17,5855.0,1.06,?
24884,Kepler-314,b,,,,,2.46104053,,,0.94,5219.54,0.89,?
24885,Kepler-249,c,1.16,,,0.0551,7.11373257,0.0,,0.41,3561.0,0.44,rocky
24886,Kepler-194,c,,,,,17.30787786,,,1.07,5731.0,1.02,?
24887,Kepler-142,b,1.98,,,0.0306,2.02414559,0.0,,1.24,5726.0,0.93,rocky
24888,Kepler-623,b,3.23,,,0.0854,9.07097734,0.0,,0.93,5672.0,1.01,icy
24889,Kepler-640,b,,,,,22.24814617,,,1.04,5581.5,0.99,?
24890,Kepler-100,c,2.2,7.05,,,12.8159,,,1.49,5825.0,1.08,icy
24891,Kepler-23,b,1.694,,,,7.106995,0.06,,1.53,5861.98,1.06,rocky
24892,Kepler-1392,b,1.96,,,,15.1410397,,,0.85,5479.0,0.88,rocky
24893,Kepler-392,b,1.0,,,0.059,5.341853,,,1.13,5938.0,,rocky
24894,Kepler-344,b,2.45,,,,21.96399084,,,0.9,5535.0,0.93,icy
24895,Kepler-1469,b,2.8,,,,21.8635301,,,0.89,5507.0,0.92,icy
24896,Kepler-159,b,2.38,,,0.082,10.139623,,,0.66,4625.0,,icy
24897,Kepler-1555,b,1.45,,,0.0805,8.10503551,0.0,,0.99,6201.0,1.06,rocky
24898,Kepler-342,c,,,,,26.23489576,,,1.49,6139.09,1.16,?
24899,Kepler-887,c,1.13,,,,7.63846023,,,1.29,6194.0,1.19,rocky
24900,Kepler-1564,b,1.39,,,0.1326,18.0540381,0.0,,0.85,5576.0,0.95,rocky
24901,Kepler-308,c,2.19,,,0.1211,15.3825006,0.0,,0.91,5896.0,1.0,rocky
24902,Kepler-398,d,0.85,,,0.0626,6.83437001,0.0,,0.66,4494.0,0.7,rocky
24903,Kepler-359,d,30.34,,,0.3658,77.085964,0.0,,1.03,6210.0,1.09,gassy
24904,Kepler-1066,b,2.64,,,0.029,1.9315635,0.0,,1.11,5654.0,0.89,icy
24905,Kepler-1553,b,1.15,,,,4.24261881,,,0.81,5288.0,0.85,rocky
24906,Kepler-706,b,13.17,,,,41.40831347,,,0.84,5394.0,0.87,gassy
24907,Kepler-768,b,1.67,,,0.092,11.39102358,0.0,,0.73,4983.0,0.84,rocky
24908,Kepler-558,b,2.9,,,0.172,29.0078,0.0,,0.77,5257.0,0.81,icy
24909,Kepler-1334,b,2.29,,,,15.64591713,,,0.91,5614.0,0.94,icy
24910,Kepler-233,c,2.8,,,,60.4186137,,,0.8,5261.0,0.84,icy
24911,Kepler-209,c,3.4,,,0.2255,41.74949827,0.0,,1.04,5514.0,0.88,icy
24912,Kepler-251,c,,,,,16.51413217,,,0.89,5536.0,0.97,?
24913,Kepler-610,b,4.19,,,,6.99692655,,,1.13,5943.0,1.1,icy
24914,Kepler-116,b,3.42,,,0.069,5.968734,,,1.45,6142.0,,icy
24915,Kepler-632,b,2.44,,,0.185,30.99644,0.0,,0.89,5264.0,0.88,icy
24916,Kepler-293,b,3.04,,,0.1424,19.25404023,0.0,,0.94,5798.0,1.04,icy
24917,Kepler-873,b,,,,,20.55336572,,,1.09,5983.0,1.1,?
24918,Kepler-318,b,,,,,4.66271902,,,0.95,5940.12,1.08,?
24919,Kepler-11,b,,,,,10.30402569,,,1.13,5820.0,1.05,?
24920,Kepler-987,b,3.26,,,,105.3033148,,,0.91,5637.0,0.97,icy
24921,Kepler-1017,b,3.08,,,0.0734,7.23400469,0.0,,1.33,5579.0,1.01,icy
24922,Kepler-319,d,4.3,,,0.194,31.78226,0.0,,1.49,5708.0,0.96,icy
24923,Kepler-1641,b,3.92,,,0.1473,19.672266,0.0,,1.49,6486.0,1.1,icy
24924,Kepler-991,b,2.45,,,0.3104,82.5341188,0.0,,0.58,4316.0,0.58,icy
24925,Kepler-409,b,1.11,,,0.3183,68.958447,0.0,,0.89,5455.0,0.9,rocky
24926,Kepler-171,b,,,,,4.16696628,,,1.0,5521.0,0.97,?
24927,Kepler-564,b,,,,,3.75083342,,,0.99,5582.29,0.99,?
24928,Kepler-206,c,1.98,,,0.11,13.13742,0.0,,1.27,5986.0,1.02,rocky
24929,Kepler-190,b,,,,,2.01999701,,,0.77,5088.0,0.85,?
24930,Kepler-596,b,3.22,,,0.158,21.30003,0.0,,1.09,6354.0,1.16,icy
24931,Kepler-753,b,,,,,5.74771193,,,0.67,4272.0,0.67,?
24932,Kepler-246,b,2.2,,,0.049,4.601836,0.0,,0.76,5122.0,0.76,icy
24933,Kepler-248,c,4.07,,,0.123,16.239494,,,0.83,5190.0,,icy
24934,Kepler-576,b,3.27,,,,29.91136794,,,0.97,5672.0,0.99,icy
24935,Kepler-236,c,2.102,,,,,,,0.61,3747.0,,rocky
24936,Kepler-103,b,3.17,,,,15.96533687,,,1.46,5934.0,1.12,icy
24937,KIC 5437945,b,6.4,,,,440.7813,,,1.24,6340.0,1.07,gassy
24938,Kepler-178,b,2.5,,,,9.57666498,,,0.92,5535.0,0.94,icy
24939,Kepler-37,d,1.94,,,0.208,39.792232,0.0,,0.73,5288.0,0.75,rocky
24940,Kepler-146,b,,,,,31.1588249,,,1.13,5916.53,1.08,?
24941,Kepler-26,c,2.73,,,,17.251,,,0.45,3853.0,0.47,icy
24942,Kepler-656,b,,,,,1.26025882,,,0.89,5139.72,0.87,?
24943,Kepler-187,b,,,,,4.93883135,,,1.62,6030.0,1.12,?
24944,Kepler-663,b,,,,,4.99679436,,,0.9,5074.0,0.85,?
24945,Kepler-311,b,1.85,,,0.089,9.17608,0.0,,1.12,6285.0,1.12,rocky
24946,Kepler-337,c,2.05,,,0.093,9.693201,,,1.76,5684.0,,rocky
24947,Kepler-300,c,2.15,,,0.2293,40.7151103,0.0,,0.88,5968.0,0.97,rocky
24948,Kepler-1009,b,2.381,,,,,,,0.7,3594.0,,icy
24949,Kepler-1202,b,2.52,,,0.181,28.68549,0.0,,0.85,5723.0,0.95,icy
24950,Kepler-374,b,1.73,,,0.0302,1.89782882,0.0,,1.51,5640.0,1.02,rocky
24951,Kepler-1332,b,,,,,11.87458418,,,0.93,5541.94,0.97,?
24952,Kepler-1346,b,,,,,3.40163301,,,1.02,5679.72,1.01,?
24953,Kepler-1240,b,,,,,4.86641452,,,1.38,5591.36,0.99,?
24954,Kepler-738,b,2.31,,,0.1548,24.58721573,0.0,,0.75,5465.0,0.82,icy
24955,Kepler-1429,b,1.23,,,0.055,4.48494315,0.0,,1.05,6217.0,1.1,rocky
24956,Kepler-106,c,2.5,10.44,3.28,,13.5708,,,1.04,5858.0,1.0,icy
24957,Kepler-684,b,5.751,,,,,,,1.41,5659.0,,icy
24958,Kepler-542,b,2.06,,,0.105,13.14494,0.0,,0.95,5639.0,0.89,rocky
24959,Kepler-199,b,,,,,23.6421965,,,0.92,5698.3,1.01,?
24960,Kepler-102,e,2.52,,,,16.14569077,,,0.74,4884.0,0.8,icy
24961,Kepler-229,c,5.4,,,,16.06862959,,,0.76,5014.0,0.8,icy
24962,Kepler-105,c,1.44,,,0.0731,7.126,,,1.01,6065.0,1.03,rocky
24963,Kepler-1655,b,,,,,11.87290396,,,1.08,6043.43,1.12,?
24964,Kepler-368,c,2.65,,,,72.381301,,,1.33,5562.0,0.97,icy
24965,Kepler-229,d,,,,,41.19727955,,,0.75,4881.0,0.8,?
24966,Kepler-98,b,1.581,,,,,,,0.92,5567.0,,rocky
24967,Kepler-406,b,,,,,2.42630678,,,1.12,5597.0,0.99,?
24968,Kepler-225,c,2.807,,,,,,,0.72,4128.0,,icy
24969,Kepler-588,b,,,,,4.22162342,,,1.28,5742.0,1.03,?
24970,Kepler-681,b,3.0,,,0.16,26.39452,0.0,,0.7,5070.0,0.78,icy
24971,Kepler-519,b,2.14,,,0.1594,24.30784323,0.0,,0.82,5313.0,0.91,rocky
24972,Kepler-517,b,,,,,60.92828898,,,1.04,5604.05,0.99,?
24973,Kepler-1357,b,1.22,,,0.041,3.00912491,0.0,,0.89,5713.0,1.01,rocky
24974,Kepler-79,e,3.049,,,,,,,1.34,6389.0,,icy
24975,Kepler-1248,b,1.16,,,0.0779,7.46725407,0.0,,1.23,6045.0,1.13,rocky
24976,Kepler-1364,b,1.94,,,0.1231,13.32196237,0.0,,1.58,6982.0,1.41,rocky
24977,Kepler-51,c,9.0,4.0,0.03,0.384,85.312,0.014,,0.94,6018.0,1.04,rocky
24978,Kepler-51,d,9.7,7.6,0.046,0.509,130.194,0.008,,0.94,6018.0,1.04,icy
24979,Kepler-29,c,2.39,,,,,,,0.75,5378.0,,icy
24980,Kepler-700,b,8.368,,,,,,,1.36,5512.0,,gassy
24981,Kepler-1188,b,,,,,17.13689021,,,1.51,5908.0,1.07,?
24982,Kepler-1565,b,1.18,,,0.024,1.53818844,0.0,,0.73,5112.0,0.78,rocky
24983,Kepler-810,b,,,,,4.59726613,,,1.03,5592.0,0.99,?
24984,Kepler-142,b,1.94,,,0.0314,2.02414357,0.0,,1.23,5794.0,1.0,rocky
24985,Kepler-304,d,2.4,,,0.078,9.653484,0.0,,0.67,4779.0,0.69,icy
24986,Kepler-348,b,1.52,,,0.076,7.05677,,,1.36,6177.0,,rocky
24987,Kepler-887,b,,,,,20.4222447,,,1.37,6367.0,1.27,?
24988,Kepler-1607,b,1.09,,,0.1075,13.6473676,0.0,,1.38,5771.0,0.89,rocky
24989,Kepler-602,b,2.7,,,0.1224,15.28467725,0.0,,1.37,5763.0,1.04,icy
24990,Kepler-484,b,2.28,,,0.0913,10.04556931,0.0,,0.89,5691.0,1.0,icy
24991,Kepler-275,b,2.25,,,0.1022,10.30065512,0.0,,1.28,6535.0,1.34,icy
24992,Kepler-1449,b,1.72,,,0.1176,13.2274528,0.0,,1.16,6269.0,1.24,rocky
24993,Kepler-187,c,,,,,10.64030282,,,1.62,6030.0,1.12,?
24994,Kepler-214,c,2.13,,,0.194,28.7798,,,1.35,6169.0,,rocky
24995,Kepler-111,c,7.52,,,0.7469,224.7782093,0.0,,1.15,5906.0,1.1,gassy
24996,Kepler-325,b,,,,,4.54445723,,,0.8,5585.15,0.99,?
24997,Kepler-271,b,1.229,,,,,,,0.86,5470.0,,rocky
24998,Kepler-932,b,1.32,,,0.028,1.9214304,0.0,,0.81,5213.0,0.78,rocky
24999,Kepler-605,b,1.46,,,,,,,0.87,5350.0,,rocky
25000,Kepler-653,c,0.768,,,,,,,1.21,5612.0,,rocky
25001,Kepler-253,d,,,,,18.11989941,,,0.85,5017.0,0.83,?
25002,Kepler-1577,b,0.982,,,,,,,0.69,4932.0,,rocky
25003,Kepler-620,b,,,,,12.91387805,,,1.31,6142.88,1.16,?
25004,Kepler-197,c,1.514,,,,,,,1.17,5945.0,,rocky
25005,Kepler-1072,b,1.4,,,0.0282,1.5690665,0.0,,1.14,6343.0,1.21,rocky
25006,Kepler-1656,b,4.47,,,0.1986,31.57865934,0.0,,0.98,5750.0,1.04,icy
25007,Kepler-176,b,,,,,5.4331329,,,0.82,5047.0,0.84,?
25008,TOI-837,b,,,,,8.324876,,G0/F9 V,1.02,6047.0,1.12,?
25009,Kepler-737,b,1.83,,,0.1422,28.59914031,0.0,,0.46,3755.0,0.47,rocky
25010,Kepler-738,b,,,,,24.58716355,,,0.95,5230.88,0.89,?
25011,Kepler-258,b,4.12,,,0.1027,13.19721496,0.0,,0.89,4954.0,0.83,icy
25012,Kepler-32,b,2.09,,,0.0514,5.90128282,0.0,,0.5,3727.0,0.52,rocky
25013,Kepler-564,b,4.2,,,0.046,3.7508299,0.0,,0.84,5674.0,0.94,icy
25014,Kepler-1109,b,1.67,,,0.217,37.64617,0.0,,0.88,5779.0,0.96,rocky
25015,Kepler-361,c,2.55,,,0.296,55.18815,0.0,,1.23,6321.0,1.14,icy
25016,Kepler-1134,b,2.4,,,0.128,17.13271,0.0,,0.81,5276.0,0.96,icy
25017,Kepler-1350,c,1.73,,,,1.76678906,,,0.53,3827.0,0.55,rocky
25018,KOI-351,f,3.402,,,,,,,1.21,6015.0,,icy
25019,Kepler-354,c,,,,,16.93485739,,,0.71,4550.0,0.72,?
25020,Kepler-130,b,1.03,,,0.0795,8.45746707,0.0,,1.13,5884.0,0.93,rocky
25021,Kepler-1406,b,1.36,,,0.102,11.629096,0.0,,1.12,6071.0,1.03,rocky
25022,Kepler-1407,b,,,,,20.0708757,,,1.35,5800.0,1.04,?
25023,Kepler-306,c,2.58,,,0.07,7.2402285,0.0,,0.85,5219.0,0.87,icy
25024,Kepler-894,b,2.46,,,0.092,9.80314,0.0,,0.87,5920.0,1.06,icy
25025,Kepler-275,b,2.34,,,0.098,10.300682,,,1.38,6165.0,,icy
25026,Kepler-276,b,2.4,,,0.116,14.12843,0.0,,0.95,6057.0,1.05,icy
25027,Kepler-278,c,3.66,,,0.3027,51.0771048,0.0,,3.05,5010.0,1.41,icy
25028,Kepler-282,e,,,,,44.34738006,,,1.1,5848.0,1.06,?
25029,Kepler-926,b,2.924,,,,,,,1.25,5562.0,,icy
25030,Kepler-206,b,1.11,,,0.0765,7.78200916,0.0,,1.06,5762.0,0.98,rocky
25031,Kepler-1327,b,1.8,,,,14.88801098,,,1.03,5885.0,1.02,rocky
25032,Kepler-1328,b,,,,,4.52158137,,,1.36,5647.55,1.0,?
25033,Kepler-190,c,,,,,3.76303738,,,0.77,5088.0,0.85,?
25034,Kepler-1296,b,2.544,,,,,,,2.05,5404.0,,icy
25035,Kepler-1299,b,2.47,,,0.1351,19.9400874,0.0,,0.76,5609.0,0.83,icy
25036,Kepler-266,c,,,,,107.7214092,,,1.11,5510.0,0.97,?
25037,Kepler-269,c,1.62,,,0.0796,8.12810877,0.0,,0.92,5831.0,1.02,rocky
25038,Kepler-275,d,3.08,,,0.2338,35.6756963,0.0,,1.28,6535.0,1.34,icy
25039,Kepler-208,e,1.67,,,,16.25945734,,,1.4,5951.0,1.16,rocky
25040,Kepler-1441,b,,,,,39.44092848,,,1.56,5572.13,0.98,?
25041,Kepler-816,b,,,,,10.50682828,,,0.94,4797.24,0.78,?
25042,Kepler-814,b,1.78,,,0.0676,6.1469851,0.0,,1.03,6341.0,1.08,rocky
25043,Kepler-813,b,2.27,,,0.1424,19.12947337,0.0,,0.97,6061.0,1.05,icy
25044,Kepler-287,c,3.3,,,,44.8521071,,,0.95,5648.0,0.97,icy
25045,Kepler-1256,b,1.5,,,0.1063,12.4128518,0.0,,1.35,5945.0,1.04,rocky
25046,Kepler-1258,b,1.0,,,,,,,1.12,5627.0,,rocky
25047,Kepler-1260,b,,,,,19.11893509,,,1.83,5775.0,1.03,?
25048,Kepler-235,c,1.28,,,0.065,7.824904,,,0.55,4255.0,,rocky
25049,Kepler-235,c,,,,,7.82502168,,,0.64,4074.0,0.64,?
25050,Kepler-1370,b,,,,,20.26432427,,,1.46,6212.47,1.2,?
25051,Kepler-362,b,0.88,,,0.087,10.327186,,,0.72,5788.0,,rocky
25052,Kepler-362,b,,,,,10.32736351,,,1.28,5745.22,1.03,?
25053,Kepler-1163,b,0.88,,,0.0679,6.11786898,0.0,,1.11,6444.0,1.11,rocky
25054,Kepler-1168,b,,,,,55.8224422,,,0.74,4934.58,0.81,?
25055,Kepler-388,b,0.95,,,0.036,3.173338,0.0,,0.61,4530.0,0.64,rocky
25056,Kepler-1250,b,,,,,2.60754516,,,1.53,5690.0,1.01,?
25057,Kepler-1251,b,,,,,45.09041544,,,0.9,5558.2,0.98,?
25058,Kepler-1255,b,,,,,36.2923179,,,1.35,5924.0,1.08,?
25059,Kepler-245,c,2.338,,,,,,,0.79,5105.0,,icy
25060,Kepler-1387,b,,,,,2.27952336,,,0.7,4982.83,0.82,?
25061,Kepler-1389,b,,,,,99.25349825,,,0.75,4905.0,0.8,?
25062,Kepler-306,e,,,,,44.84124614,,,0.79,4948.0,0.81,?
25063,Kepler-84,e,2.3,,,0.1784,27.4345883,0.0,,1.02,6028.0,1.0,icy
25064,Kepler-998,b,,,,,5.65378367,,,1.23,5822.0,1.05,?
25065,Kepler-1041,b,,,,,24.7577652,,,1.67,5919.0,1.08,?
25066,Kepler-1028,b,,,,,2.51461384,,,0.83,5494.0,0.96,?
25067,Kepler-1004,b,6.668,,,,,,,3.58,5008.0,,gassy
25068,Kepler-997,b,,,,,2.70729361,,,1.55,6169.0,1.18,?
25069,Kepler-266,c,3.83,,,0.451,107.7215744,0.0,,1.02,5888.0,1.05,icy
25070,Kepler-714,b,9.19,,,0.0827,8.09888799,0.0,,1.06,6167.0,1.15,gassy
25071,Kepler-984,b,2.5,,,0.2327,43.0343364,0.0,,0.91,5550.0,0.91,icy
25072,Kepler-339,d,1.41,,,0.09,10.55840479,0.0,,1.02,5353.0,0.87,rocky
25073,Kepler-1033,b,2.4,,,0.0761,7.56052209,0.0,,0.94,5895.0,1.03,icy
25074,Kepler-1053,b,,,,,2.41434868,,,0.61,4405.22,0.69,?
25075,Kepler-1075,b,,,,,1.52373073,,,0.59,3945.0,0.58,?
25076,Kepler-1509,b,2.0,,,0.1707,25.4337864,0.0,,1.16,5806.0,1.02,rocky
25077,Kepler-126,d,,,,,100.28309792,,,1.45,6221.0,1.2,?
25078,Kepler-602,b,,,,,15.28476211,,,1.57,5554.67,0.98,?
25079,Kepler-553,b,,,,,4.03046931,,,0.95,5104.0,0.86,?
25080,KOI-351,g,8.1,,,0.71,210.60697,,,1.2,6080.0,1.2,gassy
25081,Kepler-245,d,3.24,,,,36.27594657,,,0.8,5174.0,0.86,icy
25082,Kepler-79,b,3.42,,,,13.48458665,,,1.31,6223.0,1.18,icy
25083,Kepler-740,b,,,,,3.58410138,,,0.99,5415.15,0.94,?
25084,Kepler-546,b,,,,,4.14701989,,,1.4,5694.0,1.01,?
25085,Kepler-178,b,,,,,9.57665595,,,0.89,5418.0,0.94,?
25086,Kepler-40,b,,,,,6.87316326,,,2.36,6014.0,1.11,?
25087,Kepler-114,b,,,,,5.18855617,,,0.7,4662.41,0.74,?
25088,Kepler-837,b,,,,,16.56057486,,,0.78,5608.0,0.99,?
25089,Kepler-243,b,2.47,,,0.0611,5.71542598,0.0,,0.83,5237.0,0.93,icy
25090,Kepler-719,b,6.96,,,0.0556,5.00731666,0.0,,0.83,5865.0,0.91,gassy
25091,Kepler-449,b,1.53,,,0.1027,12.58229808,0.0,,1.42,5587.0,0.91,rocky
25092,Kepler-392,c,1.07,,,0.0905,10.42317343,0.0,,1.14,5767.0,0.91,rocky
25093,Kepler-535,b,2.05,,,0.0601,4.90332155,0.0,,1.11,6173.0,1.2,rocky
25094,Kepler-289,c,12.77,,,,125.86543389,,,1.13,6001.0,1.08,gassy
25095,Kepler-189,b,1.39,,,,10.39990194,,,0.8,5169.0,0.83,rocky
25096,Kepler-415,b,1.75,,,,4.17634525,,,0.7,4586.0,0.73,rocky
25097,Kepler-224,c,3.12,,,0.058,5.925003,,,0.68,5018.0,,icy
25098,Kepler-227,b,3.11,,,0.09,9.488015,,,1.09,5854.0,,icy
25099,K2-290,b,3.06,10.9,4.1,0.0923,9.21165,0.0,,1.51,6302.0,1.19,icy
25100,Kepler-1617,b,1.08,,,0.1833,27.4785572,0.0,,1.13,6300.0,1.08,rocky
25101,Kepler-442,b,1.56,,,0.393,112.306839,0.0,,0.65,4569.0,0.64,rocky
25102,Kepler-1379,b,1.28,,,0.0171,0.88184115,0.0,,0.78,5260.0,0.86,rocky
25103,Kepler-1066,b,2.55,,,0.0284,1.93155984,0.0,,1.05,5642.0,0.82,icy
25104,Kepler-357,c,,,,,16.85825609,,,0.74,4870.0,0.79,?
25105,Kepler-1587,b,,,,,9.4061364,,,1.38,5936.0,1.08,?
25106,Kepler-20,e,,,,,6.09855603,,,0.91,5489.0,0.96,?
25107,Kepler-113,b,,,,,4.75400425,,,0.77,4711.0,0.75,?
25108,Kepler-114,d,2.53,,,0.09,11.776147,0.0,,0.65,4619.0,0.71,icy
25109,Kepler-449,b,1.57,,,0.1047,12.5822799,0.0,,1.47,5588.0,0.97,rocky
25110,Kepler-603,b,2.65,,,,21.05358596,,,1.01,5808.0,1.01,icy
25111,Kepler-709,b,3.372,,,,,,,0.76,5239.0,,icy
25112,Kepler-155,b,1.95,,,0.0529,5.93119294,0.0,,0.54,3985.0,0.56,rocky
25113,Kepler-681,b,3.16,,,0.1642,26.39435646,0.0,,0.78,5127.0,0.84,icy
25114,Kepler-620,b,,,,,12.91385906,,,1.31,6142.88,1.16,?
25115,Kepler-853,b,1.604,,,,,,,1.46,6318.0,,rocky
25116,Kepler-220,b,,,,,4.15981655,,,0.77,4457.96,0.7,?
25117,Kepler-655,b,,,,,46.40626,,,1.23,6261.79,1.22,?
25118,Kepler-127,d,2.54,,,0.2799,48.63038976,0.0,,1.36,6106.0,1.24,icy
25119,Kepler-1276,b,1.09,,,0.1055,12.5720095,0.0,,1.07,6456.0,0.99,rocky
25120,Kepler-1015,b,2.6,,,0.1339,16.00494214,0.0,,1.34,6711.0,1.25,icy
25121,Kepler-1025,b,1.64,,,0.2186,37.3229493,0.0,,0.93,6253.0,1.0,rocky
25122,Kepler-241,b,2.35,,,0.0934,12.71810317,0.0,,0.69,4702.0,0.67,icy
25123,Kepler-316,b,1.19,,,0.0277,2.24048639,0.0,,0.55,4132.0,0.56,rocky
25124,Kepler-942,b,2.02,,,0.2245,44.96417488,0.0,,0.71,4684.0,0.74,rocky
25125,Kepler-276,b,2.73,,,0.1159,14.12847677,0.0,,0.97,5779.0,1.04,icy
25126,Kepler-263,b,,,,,16.56806842,,,0.73,5188.56,0.88,?
25127,Kepler-1394,b,,,,,3.93766786,,,1.97,6565.0,1.36,?
25128,Kepler-1410,b,,,,,60.8660974,,,,4031.25,,?
25129,Kepler-138,c,,,,,13.78109471,,,0.54,3880.0,0.54,?
25130,Kepler-431,b,,,,,6.80257947,,,1.64,6013.71,1.11,?
25131,Kepler-309,b,1.03,,,0.0512,5.92365634,0.0,,0.49,3880.0,0.51,rocky
25132,Kepler-1138,b,1.71,,,0.041,3.170598,0.0,,0.96,5774.0,0.93,rocky
25133,Kepler-1511,b,2.18,,,0.1753,23.2385587,0.0,,1.69,6602.0,1.33,rocky
25134,Kepler-538,b,2.16,,,0.3539,81.737872,0.0,,0.87,5559.0,0.88,rocky
25135,Kepler-575,b,,,,,9.37884282,,,0.98,5545.0,0.98,?
25136,Kepler-684,b,3.36,,,,6.77030201,,,0.86,5493.0,0.89,icy
25137,Kepler-541,b,,,,,5.08007383,,,2.15,6079.73,1.14,?
25138,Kepler-87,b,10.666,,,,,,,1.48,5600.0,,gassy
25139,Kepler-899,b,2.57,,,0.1392,19.17891293,0.0,,0.88,5767.0,0.98,icy
25140,Kepler-11,b,1.85,,,,10.30400497,,,1.07,5745.0,0.99,rocky
25141,Kepler-18,b,2.11,,,0.0434,3.50468755,0.0,,1.05,5356.0,0.88,rocky
25142,Kepler-20,e,0.82,,,0.0626,6.09853672,0.0,,0.93,5465.0,0.88,rocky
25143,Kepler-907,b,,,,,15.86627839,,,,6082.73,,?
25144,Kepler-912,b,2.02,,,0.0339,2.53475568,0.0,,0.81,5662.0,0.81,rocky
25145,Kepler-750,c,1.31,,,0.052,4.08902,0.0,,1.02,6243.0,1.12,rocky
25146,Kepler-51,b,,,,,45.15530956,,,0.85,5770.0,1.03,?
25147,Kepler-208,c,1.65,,,0.0797,7.46662068,0.0,,1.5,5966.0,1.21,rocky
25148,Kepler-1330,b,1.72,,,0.0933,10.10769068,0.0,,0.96,5754.0,1.06,rocky
25149,Kepler-380,c,1.62,,,0.079,7.63018,0.0,,1.34,6190.0,1.11,rocky
25150,Kepler-1208,b,2.32,,,,11.08507637,,,0.76,5001.0,0.8,icy
25151,Kepler-383,c,,,,,31.20124775,,,,4608.75,,?
25152,Kepler-384,c,,,,,45.3486381,,,1.74,5500.82,0.96,?
25153,Kepler-387,c,,,,,11.8377062,,,1.15,5835.36,1.05,?
25154,Kepler-1388,b,,,,,12.2854718,,,0.6,3938.0,0.59,?
25155,Kepler-250,d,2.18,,,0.127,17.648312,,,0.81,5160.0,,rocky
25156,Kepler-344,c,,,,,125.60408053,,,0.94,5349.15,0.92,?
25157,Kepler-92,d,,,,,49.3567907,,,1.82,5904.34,1.07,?
25158,Kepler-1431,b,,,,,5.86601519,,,1.39,5639.91,1.0,?
25159,Kepler-1434,b,,,,,8.05286361,,,2.45,6062.77,1.13,?
25160,Kepler-1435,b,0.94,,,0.0568,4.45343281,0.0,,1.34,6664.0,1.24,rocky
25161,Kepler-1438,b,,,,,2.31941571,,,1.31,5403.0,0.94,?
25162,Kepler-1451,b,2.9,,,0.2097,35.622233,0.0,,0.87,5796.0,0.97,icy
25163,Kepler-1452,b,,,,,42.9136635,,,2.2,5892.3,1.07,?
25164,Kepler-438,b,0.98,,,0.1648,35.23318,0.0,,0.46,3688.0,0.48,rocky
25165,Kepler-286,b,1.37,,,0.0289,1.79632439,0.0,,0.91,5970.0,1.0,rocky
25166,Kepler-284,b,2.44,,,0.1032,12.69902995,0.0,,0.83,5614.0,0.91,icy
25167,Kepler-168,b,1.46,,,0.056,4.425391,,,1.11,6282.0,,rocky
25168,Kepler-181,b,1.42,,,0.04,3.137852,0.0,,0.75,5325.0,0.85,rocky
25169,Kepler-193,c,,,,,50.69803697,,,1.03,6026.0,1.12,?
25170,Kepler-387,b,1.08,,,0.0712,6.79164786,0.0,,1.06,6303.0,1.04,rocky
25171,Kepler-155,c,,,,,52.66147243,,,0.77,4339.18,0.68,?
25172,Kepler-1246,b,1.12,,,0.085,11.32306,0.0,,0.62,4592.0,0.65,rocky
25173,Kepler-1536,b,3.14,,,,364.758031,,,0.67,4434.0,0.71,icy
25174,Kepler-1537,b,,,,,1.44445234,,,0.82,4997.0,0.83,?
25175,Kepler-1129,c,2.75,,,0.3502,76.5369586,0.0,,1.02,6240.0,0.97,icy
25176,Kepler-1538,b,2.82,,,,175.138819,,,1.03,5837.0,1.03,icy
25177,Kepler-1538,b,2.94,,,0.6344,175.138819,0.0,,1.1,6210.0,1.11,icy
25178,KOI-1783,c,,,,,284.07309817,,,1.18,5995.0,1.1,?
25179,Kepler-1395,b,,,,,3.78472294,,,1.24,6071.93,1.13,?
25180,Kepler-62,c,,,,,12.4418003,,,0.73,4842.0,0.79,?
25181,Kepler-368,c,3.88,,,0.36,72.379334,,,2.02,5502.0,,icy
25182,Kepler-1542,b,0.926,,,,,,,1.18,5545.0,,rocky
25183,Kepler-1543,b,2.22,,,0.0804,6.96710269,0.0,,1.4,6602.0,1.43,icy
25184,Kepler-154,b,2.36,,,0.1943,33.0405509,0.0,,0.97,5688.0,0.9,icy
25185,Kepler-275,d,,,,,35.67524129,,,1.44,6222.0,1.2,?
25186,Kepler-282,c,1.22,,,0.1106,13.639525,0.0,,0.89,6102.0,0.97,rocky
25187,Kepler-283,c,2.311,,,,,,,0.63,4141.0,0.66,icy
25188,Kepler-295,c,3.616,,,,,,,2.36,5253.0,,icy
25189,Kepler-295,d,,,,,33.8845825,,,2.38,5327.0,,?
25190,Kepler-887,c,1.05,,,0.0801,7.63846023,0.0,,1.17,6422.0,1.18,rocky
25191,Kepler-87,c,6.89,,,,573.95023,,,1.8,5649.0,1.11,gassy
25192,Kepler-1077,b,2.75,,,0.2101,34.3511339,0.0,,0.97,6091.0,1.04,icy
25193,Kepler-1080,b,,,,,77.2550726,,,2.07,6578.02,1.37,?
25194,Kepler-235,d,1.99,,,0.1155,20.06037454,0.0,,0.48,3887.0,0.51,rocky
25195,Kepler-32,c,2.0,,,0.067,8.7522,,M1 V,0.53,3793.0,0.54,rocky
